[Config] drives=16
[Info] FUSE filesystem ready
[Info] FUSE filesystem initialized
[Distribution] Op=12 Drive=6 Size=0 Key=1
[Distribution] Op=0 Drive=11 Size=0 Key=1/.Trash
[Distribution] Op=0 Drive=6 Size=0 Key=1/.Trash-1003
[Distribution] Op=0 Drive=12 Size=0 Key=1/.xdg-volume-info
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=0 Drive=12 Size=0 Key=1/autorun.inf
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=8 Drive=6 Size=0 Key=1
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=11 Drive=14 Size=0 Key=1/readdir
[Distribution] Op=0 Drive=12 Size=0 Key=1/autorun.inf
[Distribution] Op=13 Drive=10 Size=0 Key=statfs
[Distribution] Op=0 Drive=8 Size=0 Key=1/file0.dat
[Distribution] Op=2 Drive=8 Size=0 Key=1/file0.dat
[Distribution] Op=6 Drive=14 Size=4096 Key=
[Distribution] Op=6 Drive=1 Size=4096 Key=
[Distribution] Op=6 Drive=8 Size=4096 Key=
[Distribution] Op=6 Drive=11 Size=4096 Key=
[Distribution] Op=6 Drive=10 Size=4096 Key=
[Distribution] Op=6 Drive=13 Size=4096 Key=
[Distribution] Op=6 Drive=4 Size=4096 Key=
[Distribution] Op=6 Drive=7 Size=4096 Key=
[Distribution] Op=6 Drive=6 Size=4096 Key=
[Distribution] Op=6 Drive=9 Size=4096 Key=
[Distribution] Op=6 Drive=3 Size=4096 Key=
[Distribution] Op=6 Drive=0 Size=4096 Key=
[Distribution] Op=6 Drive=9 Size=4096 Key=
[Distribution] Op=6 Drive=6 Size=4096 Key=
[Distribution] Op=6 Drive=15 Size=4096 Key=
[Distribution] Op=6 Drive=12 Size=4096 Key=
[Distribution] Op=6 Drive=5 Size=4096 Key=
[Distribution] Op=6 Drive=2 Size=4096 Key=
[Distribution] Op=6 Drive=11 Size=4096 Key=
[Distribution] Op=6 Drive=8 Size=4096 Key=
[Distribution] Op=6 Drive=8 Size=4096 Key=
[Distribution] Op=6 Drive=11 Size=4096 Key=
[Distribution] Op=6 Drive=14 Size=4096 Key=
[Distribution] Op=6 Drive=1 Size=4096 Key=
[Distribution] Op=6 Drive=4 Size=4096 Key=
[Distribution] Op=6 Drive=7 Size=4096 Key=
[Distribution] Op=6 Drive=10 Size=4096 Key=
[Distribution] Op=6 Drive=13 Size=4096 Key=
[Distribution] Op=6 Drive=0 Size=4096 Key=
[Distribution] Op=6 Drive=3 Size=4096 Key=
[Distribution] Op=6 Drive=1 Size=4096 Key=
[Distribution] Op=6 Drive=14 Size=4096 Key=
[Distribution] Op=6 Drive=11 Size=4096 Key=
[Distribution] Op=6 Drive=8 Size=4096 Key=
[Distribution] Op=6 Drive=13 Size=4096 Key=
[Distribution] Op=6 Drive=10 Size=4096 Key=
[Distribution] Op=6 Drive=7 Size=4096 Key=
[Distribution] Op=6 Drive=4 Size=4096 Key=
[Distribution] Op=6 Drive=9 Size=4096 Key=
[Distribution] Op=6 Drive=6 Size=4096 Key=
[Distribution] Op=6 Drive=14 Size=4096 Key=
[Distribution] Op=6 Drive=1 Size=4096 Key=
[Distribution] Op=6 Drive=8 Size=4096 Key=
[Distribution] Op=6 Drive=11 Size=4096 Key=
[Distribution] Op=6 Drive=10 Size=4096 Key=
[Distribution] Op=6 Drive=13 Size=4096 Key=
[Distribution] Op=6 Drive=4 Size=4096 Key=
[Distribution] Op=6 Drive=7 Size=4096 Key=
[Distribution] Op=6 Drive=6 Size=4096 Key=
[Distribution] Op=6 Drive=9 Size=4096 Key=
[Distribution] Op=6 Drive=7 Size=4096 Key=
[Distribution] Op=6 Drive=4 Size=4096 Key=
[Distribution] Op=6 Drive=13 Size=4096 Key=
[Distribution] Op=6 Drive=10 Size=4096 Key=
[Distribution] Op=6 Drive=11 Size=4096 Key=
[Distribution] Op=6 Drive=8 Size=4096 Key=
[Distribution] Op=6 Drive=1 Size=4096 Key=
[Distribution] Op=6 Drive=14 Size=4096 Key=
[Distribution] Op=6 Drive=15 Size=4096 Key=
[Distribution] Op=6 Drive=12 Size=4096 Key=
[Distribution] Op=6 Drive=12 Size=4096 Key=
[Distribution] Op=6 Drive=15 Size=4096 Key=
[Distribution] Op=6 Drive=2 Size=4096 Key=
[Distribution] Op=6 Drive=5 Size=4096 Key=
[Distribution] Op=6 Drive=0 Size=4096 Key=
[Distribution] Op=6 Drive=3 Size=4096 Key=
[Distribution] Op=6 Drive=6 Size=4096 Key=
[Distribution] Op=6 Drive=9 Size=4096 Key=
[Distribution] Op=6 Drive=4 Size=4096 Key=
[Distribution] Op=6 Drive=7 Size=4096 Key=
[Distribution] Op=6 Drive=5 Size=4096 Key=
[Distribution] Op=6 Drive=2 Size=4096 Key=
